Anchor	Reco
9240977	10984488
10294990	486280096
10294990	779517116
10294990	46401422
10294990	53724971
10313897	2237220663
10984488	10984487
10984488	21778186
10984488	10984491
10984488	47064313
10984488	813207128
10984488	15561369
10984488	10984455
10984488	10984517
10984488	813207128
10984488	10984541
15240706	10315449
19412039	49316864
20594119	197876984
20897708	10535015
20897708	10536147
21674293	42425655
21674293	909447998
23868779	23868772
23868779	17163478
23868779	23868773
23923118	26394959
24576177	3266503433
24576177	24884678
24576177	155416869
24576179	25096406
24576179	24576183
24576179	2878128346
24576179	39344959
24576179	2213732473
24576181	24884678
24576181	2213732473
24576181	3266503433
24576185	155416869
24576185	3266503433
24576185	24884678
24576185	2213732473
24576191	155416869
24576191	24884678
24576191	2213732473
24576191	776775937
24862840	155416869
24862840	24884678
24862840	2213732473
24862840	3266503433
25465007	469103805
26536460	254588729
26983713	975762245
37693379	549761378
42351565	1055721558
49332951	1944452359
49332951	2430623260
54476936	55092048
56027831	277626180
100272038	216325455
103616322	17201458
110539689	289060892
110539689	2340788280
110883909	45455131
110883909	278296845
110883909	15935575
110883909	1043441
110883909	418401755
110883909	20564365
111488395	372897109
111488395	523103568
111488395	2821980143
115703498	224484757
120093626	328469512
130132260	44391443
131102333	1845392115
131102333	1478050499
132293997	404567141
132670327	1024561379
137046309	1300909408
141005492	55432528
151283970	674181781
157477201	20500708
157477201	984760665
158189731	47409684
158600281	2669337626
158600281	2599762371
158600281	43085910
158600281	2274111792
158600281	2101737179
164396206	577955099
166697493	306690849
166697493	1803412605
166697493	5027990537
166697493	112147276
166697493	312200086
169438279	473535403
175741435	1861461293
175741435	382845101
175774663	1359876758
175774663	2056367662
175774663	1791574553
183090953	5146781951
183090953	216677432
185108829	900702618
192969095	984855551
192969095	922679868
192969095	3333614953
192969095	43357897
192969095	43357897
193965374	1957889862
197842780	495779978
217715651	1801358389
222918738	392160254
222918738	998487374
223152283	299642479
227892277	47409684
227892277	1983379918
231797280	337987916
240103119	266658881
244686900	111488395
249900363	1272972648
256820425	1517397225
263351857	5146781951
264278498	5146781951
266679597	411089639
268073422	3499811238
271925562	1603987558
271925562	3713116963
274028902	2702510823
281963945	2498069881
281963945	2831529921
281963945	2653416270
281963945	2783705354
281963945	987712958
284195928	1574625924
284195928	723645942
292304901	533013324
297089411	700509852
297089411	799104049
297089411	337987916
311154349	2258912572
312623448	629776634
312623448	3876101675
312623448	273438036
313533639	1284707453
315956122	2726413764
319506782	2489872699
319506782	1334442567
321284247	741224561
324722425	277626180
327106347	277626180
334105423	396408492
334105423	228946752
334105423	14562417
334105423	993482878
338446524	1121735595
339230661	277626180
351691465	2977914340
352888496	818948661
352888496	146419856
352888496	407663883
352888496	425545773
354208327	620861079
362472085	547455572
362472085	43079810
364547034	2255771626
364547034	2246204838
367218259	540290162
367218259	540290162
381431009	1940903166
395219281	620861079
405701071	1557462805
406838410	1121735595
408992127	1346595316
408992127	1346595316
409045763	13925174
409045763	3578251335
410113913	2979186876
419478716	158623987
426591500	837553212
426591500	837553212
426591500	498872574
430823952	213835449
430941107	277626180
438414141	2980969459
438414141	43079375
438414141	2075832826
438414141	2980969459
438414141	2738052002
438414141	2075832826
438414141	336416620
441380929	1040755554
442041294	246830733
442041294	480535186
445208753	792102262
445225557	1120947164
454121845	277626180
467859822	920026004
470070854	620861079
472534316	497624685
479104527	1517397225
499823807	3379188593
499823807	1067863656
499823807	1815972354
499823807	1067863656
499823807	1620329954
499823807	3379188593
505201613	636905935
505201613	913561522
507446770	277626180
525415549	577955099
525415549	733496287
525740333	3023648507
525740333	3023648507
525740333	2783889964
530046798	277626180
530046798	3059896322
531683023	277626180
544464532	1166789468
548723803	553528725
559110813	1029761373
560424525	1868655844
564807397	1103117805
564807397	2639795312
564807397	2570061154
565223855	193415676
565223855	265942933
565223855	267462685
566987317	3642779683
567888022	379136047
571325110	344373956
571881542	455617240
576760937	450814644
580510164	2489536807
581283402	3169699566
589687264	1197103718
589687264	1717649139
591494347	748722815
595874601	1195349007
596005887	370304133
598383758	434453115
